#solverIteratedGlobal,,,,,,,,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value,Upper bound value
random-2-opt-60-1337,0,193,7435,3681,5,282363234,8254.095347,
random-2-opt-60-1337,0,193,7435,3681,10,1201328466,20769.473295,
random-2-opt-60-1337,0,193,7435,3681,15,6689721358,34851.555893,
random-2-opt-60-1337,0,193,7435,3681,20,21012514489,58960.089939,
random-2-opt-60-1337,0,193,7435,3681,25,21651442757,73330.758137,
random-2-opt-60-1337,0,193,7435,3681,30,32233391458,93006.839458,
random-2-opt-60-1337,1,209,8801,4356,5,246808857,11226.62118,
random-2-opt-60-1337,1,209,8801,4356,10,1309871411,22828.998237,
random-2-opt-60-1337,1,209,8801,4356,15,11481220102,39006.253027,
random-2-opt-60-1337,1,209,8801,4356,20,21476080381,59898.722463,
random-2-opt-60-1337,1,209,8801,4356,25,31014313440,81199.735032,
random-2-opt-60-1337,1,209,8801,4356,30,41950728033,100206.351034,
random-2-opt-60-1337,2,246,12082,5978,5,572443449,11258.036407,
random-2-opt-60-1337,2,246,12082,5978,10,959239982,24635.934589,
random-2-opt-60-1337,2,246,12082,5978,15,12642964821,47209.984291,
random-2-opt-60-1337,2,246,12082,5978,20,19321293253,67703.130646,
random-2-opt-60-1337,2,246,12082,5978,25,26210184672,86620.29462,
random-2-opt-60-1337,2,246,12082,5978,30,45958811438,109591.025302,
von_koch-random-55-3,0,163,5373,2645,5,58468737,3034.400093,
von_koch-random-55-3,0,163,5373,2645,10,1412387110,8638.052235,
von_koch-random-55-3,0,163,5373,2645,15,5554472566,14460.640395,
von_koch-random-55-3,0,163,5373,2645,20,12274079138,20302.409869,
von_koch-random-55-3,0,163,5373,2645,25,21547416041,26353.990358,
von_koch-random-55-3,0,163,5373,2645,30,19209884157,32418.536703,
von_koch-random-55-3,1,179,6153,3026,5,68711916,3034.400093,
von_koch-random-55-3,1,179,6153,3026,10,2526462218,10383.784959,
von_koch-random-55-3,1,179,6153,3026,15,7003846632,16127.51491,
von_koch-random-55-3,1,179,6153,3026,20,16864766522,22771.48965,
von_koch-random-55-3,1,179,6153,3026,25,18866171789,29003.545357,
von_koch-random-55-3,1,179,6153,3026,30,24686742997,35371.459408,
von_koch-random-55-3,2,213,8481,4170,5,111545460,3068.561437,
von_koch-random-55-3,2,213,8481,4170,10,4461762520,9997.105009,
von_koch-random-55-3,2,213,8481,4170,15,12722057074,17383.686551,
von_koch-random-55-3,2,213,8481,4170,20,32986033664,26072.762744,
von_koch-random-55-3,2,213,8481,4170,25,53165187428,33545.987601,
von_koch-random-55-3,2,213,8481,4170,30,61786175465,40581.196251,
von_koch-random-55-4,0,163,5982,2948,5,89806472,10853.916524,
von_koch-random-55-4,0,163,5982,2948,10,1152893182,26795.382061,
von_koch-random-55-4,0,163,5982,2948,15,1859112798,43393.739817,
von_koch-random-55-4,0,163,5982,2948,20,4843357893,58618.734908,
von_koch-random-55-4,0,163,5982,2948,25,15870195340,75652.544762,
von_koch-random-55-4,0,163,5982,2948,30,29867307913,96500.672126,
von_koch-random-55-4,1,179,6789,3342,5,109668789,10853.916524,
von_koch-random-55-4,1,179,6789,3342,10,649779353,26719.392129,
von_koch-random-55-4,1,179,6789,3342,15,2202192983,45428.228181,
von_koch-random-55-4,1,179,6789,3342,20,7532217528,66643.988625,
von_koch-random-55-4,1,179,6789,3342,25,13388271539,83599.152108,
von_koch-random-55-4,1,179,6789,3342,30,30203751500,103632.441067,
von_koch-random-55-4,2,213,9115,4480,5,151744966,10853.916524,
von_koch-random-55-4,2,213,9115,4480,10,905283747,26757.635882,
von_koch-random-55-4,2,213,9115,4480,15,4179335943,46377.95303,
von_koch-random-55-4,2,213,9115,4480,20,8768556151,67299.442521,
von_koch-random-55-4,2,213,9115,4480,25,26609752015,89605.467888,
von_koch-random-55-4,2,213,9115,4480,30,41713951108,109443.734305,
von_koch-random-60-2,0,193,8426,4153,5,232850244,1183.302276,
von_koch-random-60-2,0,193,8426,4153,10,1152541847,2806.620116,
von_koch-random-60-2,0,193,8426,4153,15,11805036151,5344.033199,
von_koch-random-60-2,0,193,8426,4153,20,22960321011,7412.090765,
von_koch-random-60-2,0,193,8426,4153,25,56425912796,10217.428467,
von_koch-random-60-2,0,193,8426,4153,30,68922858040,12573.718178,
von_koch-random-60-2,1,209,9717,4787,5,287430420,1183.302276,
von_koch-random-60-2,1,209,9717,4787,10,1387450745,2806.620116,
von_koch-random-60-2,1,209,9717,4787,15,13121967161,5076.058209,
von_koch-random-60-2,1,209,9717,4787,20,32806815525,7615.369806,
von_koch-random-60-2,1,209,9717,4787,25,60293911708,10549.975086,
von_koch-random-60-2,1,209,9717,4787,30,86067799559,12946.621325,
von_koch-random-60-2,2,246,13518,6665,5,508909896,1417.199917,
von_koch-random-60-2,2,246,13518,6665,10,3905026591,3569.078807,
von_koch-random-60-2,2,246,13518,6665,15,16116454454,6110.383414,
von_koch-random-60-2,2,246,13518,6665,20,26224359976,8652.824667,
von_koch-random-60-2,2,246,13518,6665,25,43635993778,11243.646005,
von_koch-random-60-2,2,246,13518,6665,30,87569438555,14732.53695,
von_koch-random-60-5,0,193,7031,3462,5,164459924,119684.38562,
von_koch-random-60-5,0,193,7031,3462,10,4213186331,345263.23906,
von_koch-random-60-5,0,193,7031,3462,15,3683428450,449034.780578,
von_koch-random-60-5,0,193,7031,3462,20,6314729220,624448.67666,
von_koch-random-60-5,0,193,7031,3462,25,28708014164,939054.055313,
von_koch-random-60-5,0,193,7031,3462,30,44282055844,1179523.727744,
von_koch-random-60-5,1,209,8390,4132,5,120507406,92758.912448,
von_koch-random-60-5,1,209,8390,4132,10,4131211053,354156.12732,
von_koch-random-60-5,1,209,8390,4132,15,4883423174,548301.701328,
von_koch-random-60-5,1,209,8390,4132,20,11064915672,776286.92693,
von_koch-random-60-5,1,209,8390,4132,25,17240238902,1004365.603334,
von_koch-random-60-5,1,209,8390,4132,30,34841891228,1277726.239386,
von_koch-random-60-5,2,246,11869,5850,5,547236217,128307.143653,
von_koch-random-60-5,2,246,11869,5850,10,4430289719,378276.234322,
von_koch-random-60-5,2,246,11869,5850,15,8633325701,607597.89826,
von_koch-random-60-5,2,246,11869,5850,20,22419671909,879244.056734,
von_koch-random-60-5,2,246,11869,5850,25,16598847496,1110017.248987,
von_koch-random-60-5,2,246,11869,5850,30,31869484809,1407067.371441,
random-x-monotone-55-1337,0,158,5948,2950,5,83542086,9291.64476,
random-x-monotone-55-1337,0,158,5948,2950,10,1658071025,20588.348839,
random-x-monotone-55-1337,0,158,5948,2950,15,4853544611,42048.153809,
random-x-monotone-55-1337,0,158,5948,2950,20,7870537548,58372.784695,
random-x-monotone-55-1337,0,158,5948,2950,25,12241325212,73401.689129,
random-x-monotone-55-1337,0,158,5948,2950,30,20004480612,92993.400622,
random-x-monotone-55-1337,1,172,6820,3379,5,104062676,9291.64476,
random-x-monotone-55-1337,1,172,6820,3379,10,1158769324,20213.904137,
random-x-monotone-55-1337,1,172,6820,3379,15,5844996921,42048.153809,
random-x-monotone-55-1337,1,172,6820,3379,20,10692415652,59679.162813,
random-x-monotone-55-1337,1,172,6820,3379,25,21266421207,76221.445334,
random-x-monotone-55-1337,1,172,6820,3379,30,30073771915,96554.802268,
random-x-monotone-55-1337,2,205,9073,4489,5,144813379,9291.64476,
random-x-monotone-55-1337,2,205,9073,4489,10,1702422177,21553.981736,
random-x-monotone-55-1337,2,205,9073,4489,15,9595060884,42342.928701,
random-x-monotone-55-1337,2,205,9073,4489,20,22308890557,62334.603569,
random-x-monotone-55-1337,2,205,9073,4489,25,28246840970,80649.596522,
random-x-monotone-55-1337,2,205,9073,4489,30,45145395654,101653.636264,
von_koch-random-60-4,0,193,7654,3764,5,85529038,9110.974231,
von_koch-random-60-4,0,193,7654,3764,10,887701621,24224.467778,
von_koch-random-60-4,0,193,7654,3764,15,3319660200,39346.815903,
von_koch-random-60-4,0,193,7654,3764,20,12815500099,61015.18641,
von_koch-random-60-4,0,193,7654,3764,25,25063732746,78932.423826,
von_koch-random-60-4,0,193,7654,3764,30,32544477757,95093.582107,
von_koch-random-60-4,1,209,8986,4418,5,105930442,9110.974231,
von_koch-random-60-4,1,209,8986,4418,10,1102248603,24224.467778,
